Filename,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status
2022-08-09_10-35-02_000.mov,9,35,6,1218.810857,Visually Impaired
2022-08-18_10-27-33_000.mov,6,26,2,1546.133072,Blind
2022-08-29_10-46-38_000.mov,9,36,3,1032.318032,Visually Impaired
2022-09-26_14-52-58_000.mov,32,49,9,953.6559938,Visually Impaired
2022-09-29_10-40-26_000.mov,53,71,17,966.1717659,Visually Impaired
2022-10-07_10-21-01_000.mov,8,35,5,1241.15443,Visually Impaired
2022-10-11_09-56-13_000.mov,32,42,10,864.9434685,Visually Impaired
2022-10-11_10-37-28_000.mov,4,25,3,1297.114727,Blind
2022-11-18_15-59-50_000.mov,9,30,3,990.9239719,Visually Impaired
2022-12-05_16-37-25_000.mov,41,61,18,715.4759465,Visually Impaired
2022-12-06_10-40-31_000.mov,23,49,4,1008.015787,Visually Impaired
2023-01-09_17-03-29_000.mov,44,38,11,633.7956184,Visually Impaired
2023-01-16_10-41-51_000 (1).mov,4,18,1,1407.514909,Blind
2023-01-16_10-41-51_000.mov,4,18,1,1407.514909,Blind
2023-01-26_11-45-32_000 (1).mov,13,32,2,1317.940748,Visually Impaired
2023-01-26_11-45-32_000.mov,13,32,2,1317.940748,Visually Impaired
2023-01-30_11-07-17_000.mov,35,42,7,839.640308,Visually Impaired
2023-01-31_12-51-12_000.mov,13,32,2,1114.963381,Visually Impaired
2023-02-14_12-32-25_000.mov,2,16,1,1348.118022,Blind
2023-03-03_10-27-13_000.mov,22,60,21,889.0114993,Visually Impaired
2023-03-10_11-30-13_000.mov,20,42,9,948.52287,Visually Impaired
2023-03-16_10-23-03_000.mov,29,42,9,1161.64314,Visually Impaired
2023-04-04_11-31-17_000.mov,13,29,6,1179.645176,Visually Impaired
2023-04-10_10-22-53_000.mov,7,35,3,1425.76303,Blind
2023-05-04_11-00-40_000.mov,29,54,5,1066.43083,Visually Impaired
2023-05-05_12-14-04_000.mov,13,33,4,1106.460655,Visually Impaired
2023-05-16_11-56-37_000.mov,24,49,16,715.8389819,Visually Impaired
2023-06-08_11-17-33_000.mov,41,60,14,872.3517897,Visually Impaired
2023-06-09_12-01-57_000.mov,11,28,2,1182.952677,Visually Impaired
2023-06-13_09-27-56_000.mov,8,23,8,963.0769913,Visually Impaired
2023-06-16_12-00-41_000.mov,3,22,5,1004.697444,Blind
2023-06-29_14-23-32_000.mov,4,23,3,1975.356691,Blind
2023-07-11_10-51-50_000.mov,17,22,5,564.4529033,Visually Impaired
2023-07-14_10-35-28_000.mov,13,27,4,1017.978192,Visually Impaired
2023-07-28_13-38-42_000.mov,15,25,4,1014.373054,Visually Impaired
2023-08-03_13-16-43_000.mov,18,30,4,977.9680214,Visually Impaired
2023-09-08_12-16-26_000.mov,28,44,12,793.9708836,Visually Impaired
2023-09-12_11-25-07_000.mov,9,38,5,1245.653966,Visually Impaired
2023-09-14_10-17-33_000.mov,7,21,1,1360.652994,Blind
2023-10-06_12-34-00_000.mov,33,65,15,970.990583,Visually Impaired
2023-10-12_09-55-49_000.mov,51,68,17,947.2223039,Visually Impaired
2023-10-16_11-03-30_000.mov,11,20,6,819.3778445,Visually Impaired
2023-10-17_10-48-43_000.mov,14,38,11,1113.793764,Visually Impaired
2023-10-27_14-05-34_000.mov,14,48,11,1034.922501,Visually Impaired
2023-11-09_11-54-49_000.mov,16,23,7,664.9977418,Visually Impaired
2023-11-14_10-05-28_000.mov,15,47,9,1303.819297,Visually Impaired
2023-11-22_19-15-28_000.mov,37,43,9,810.975587,Visually Impaired
2023-11-30_11-16-30_000.mov,21,45,9,924.35859,Visually Impaired
2023-12-07_15-09-56_000.mov,14,26,5,1155.089298,Visually Impaired
2023-12-14_11-10-13_000.mov,22,28,7,890.8904039,Visually Impaired
2024-01-02_10-09-05_000.mov,15,36,12,1017.266194,Visually Impaired
2024-01-11_11-11-23_000.mov,8,22,2,1347.321893,Visually Impaired
2024-01-23_11-51-44_000.mov,26,37,6,896.5992547,Visually Impaired
2024-02-09_13-37-59_000.mov,22,27,7,638.4328525,Visually Impaired
2024-02-12_12-30-59_000.mov,6,42,8,1571.242569,Blind
2024-02-15_10-45-29_000.mov,29,27,11,630.1176043,Visually Impaired
2024-02-15_11-50-58_000.mov,20,23,3,1020.543813,Visually Impaired
2024-02-26_11-16-32_000.mov,16,36,9,1104.434103,Visually Impaired
2024-03-04_10-43-45_000.mov,7,29,7,1150.689114,Blind
2024-03-07_11-02-10_000.mov,16,34,4,1252.997402,Visually Impaired
2024-03-13_09-35-34_000.mov,4,18,3,1496.989791,Blind
2024-03-18_16-09-34_000.mov,45,34,10,629.8811312,Visually Impaired
2024-03-25_09-27-27_000.mov,14,32,10,1089.113071,Visually Impaired
2024-03-26_12-15-29_000.mov,1,23,1,1514.813269,Blind
2024-04-01_11-25-35_000.mov,5,12,3,1165.988162,Blind
2024-04-16_10-28-44_000.mov,32,63,15,993.9476508,Visually Impaired
2024-04-23_11-20-52_000.mov,30,59,15,974.1954445,Visually Impaired
2024-05-03_12-21-17_000.mov,4,14,3,990.7483491,Blind
2024-05-06_11-37-54_000.mov,11,35,2,1234.119505,Visually Impaired
2024-05-06_15-12-00_000.mov,9,23,5,1326.631434,Visually Impaired
2024-05-07_16-17-12_000.mov,42,84,19,981.9234951,Visually Impaired
2024-05-09_11-10-46_000.mov,33,30,9,727.9431828,Visually Impaired
2024-05-16_11-54-35_000.mov,11,18,5,960.878689,Visually Impaired
2024-06-17_11-47-49_000.mov,12,26,3,828.187575,Visually Impaired
2024-06-21_10-49-08_000.mov,19,26,4,887.4845017,Visually Impaired
2024-07-09_13-01-49_000.mov,15,49,5,1304.157039,Visually Impaired
2024-07-15_11-54-13_000.mov,12,20,1,1328.669918,Visually Impaired
2024-07-25_10-46-27_000.mov,13,74,16,1370.430577,Visually Impaired
2024-07-30_10-45-00_000 (1).mov,24,31,7,736.8161831,Visually Impaired
2024-08-05_14-33-21_000.mov,29,54,13,956.0325232,Visually Impaired
2024-08-06_11-34-36_000.mov,21,23,5,476.2247016,Visually Impaired
2024-08-07_10-09-17_000.mov,8,28,5,1047.90173,Visually Impaired
2024-08-08_11-46-28_000.mov,24,29,12,626.0666864,Visually Impaired
2024-08-13_13-02-50_000.mov,15,35,5,1038.866194,Visually Impaired
2024-08-15_11-00-43_000.mov,13,11,5,722.1905207,Visually Impaired
2024-08-20_10-59-50_000.mov,23,33,10,1091.002282,Visually Impaired
2024-08-27_15-16-11_000.mov,32,52,9,900.5547575,Visually Impaired
2024-08-29_15-26-27_000.mov,33,56,12,1341.529934,Visually Impaired
2024-09-09_11-10-39_000.mov,10,13,2,941.0227467,Visually Impaired
2024-09-19_10-39-41_000.mov,21,17,4,807.7008581,Visual
2024-09-24_14-46-58_000.mov,1,17,0,1835.315958,Blind
2024-09-26_10-06-32_000.mov,12,25,4,1080.640578,Visually Impaired
2024-10-01_12-49-28_000.mov,17,32,5,1039.435937,Visually Impaired
2024-10-01_14-23-11_000.mov,4,19,1,1557.52943,Blind
2024-10-28_10-36-22_000.mov,22,19,6,510.9309166,Visual
2024-10-28_15-21-57_000.mov,2,17,0,1680.332256,Blind
2024-10-29_11-19-09_000.mov,4,41,6,1512.336895,Blind
2024-10-29_11-21-12_000.mov,5,14,1,1349.018267,Blind
2024-10-31_11-26-27_000.mov,25,37,8,851.7093573,Visually Impaired
2024-11-01_11-05-33_000.mov,23,54,8,970.0978708,Visually Impaired
2024-12-02_10-38-55_000.mov,7,24,6,1050.413485,Blind
2024-12-10_13-14-51_000.mov,3,15,2,1307.012383,Blind
2024-12-12_09-36-29_000.mov,2,9,0,1135.948388,Blind
2024-12-16_10-10-43_000.mov,38,53,13,791.1562078,Visually Impaired
2024-12-17_12-23-51_000.mov,31,38,9,712.4149496,Visually Impaired
2024-12-17_17-35-27_000.mov,16,62,5,1471.975921,Visually Impaired
