,Unnamed: 0,Filename,Unnamed: 1,Unnamed: 2,Blind_x,Visual_x,Visually Impaired_x,Unnamed: 6,Unnamed: 7,Comment_x,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation_x,Reactive Turn_x,Disoriented Circling_x,Mean Speed (pixels/sec)_x,Visual Status_x,Expert Status,Blind_y,Visual_y,Visually Impaired_y,Comment_y,Preemptive Navigation_y,Reactive Turn_y,Disoriented Circling_y,Mean Speed (pixels/sec)_y,Visual Status_y,Non-Expert Status
76,144,2020-07-17_12-45-41_000.MOV,,,1.0,,,,,"appears blind, but doesn’t move",,,25.0,28.0,6.0,699.6194538,2.0,1.0,1.0,,,,25,28,6,699.6194538,2,1.0
77,145,2020-07-23_10-04-15_000.MOV,,,1.0,,,,,,,,35.0,14.0,5.0,673.9404843,3.0,1.0,1.0,,,,35,14,5,673.9404843,3,1.0
78,146,2020-08-06_13-09-59_000.MOV,,,,1.0,,,,,,,10.0,37.0,5.0,1125.121176,2.0,3.0,,1.0,,,10,37,5,1125.121176,2,3.0
79,147,2020-08-27_10-02-37_000.MOV,,,,,1.0,,,almost blind but could see big black things,,,13.0,14.0,3.0,587.2902021,2.0,2.0,1.0,,,,13,14,3,587.2902021,2,1.0
80,148,2020-10-15_13-19-55_000.mov,,,,1.0,,,,slightly suspicions,,,5.0,18.0,2.0,1428.116613,1.0,3.0,,1.0,,,5,18,2,1428.116613,1,3.0
81,149,2020-10-15_16-07-29_000.mov,,,1.0,,,,,pretending that it can see someghint,,,27.0,28.0,5.0,707.8057552,2.0,1.0,1.0,,,,27,28,5,707.8057552,2,1.0
82,150,2020-11-10_13-56-37_000.mov,,,1.0,,,,,"appears blind, but doesn’t move",,,32.0,56.0,10.0,782.9977472,2.0,1.0,1.0,,,,32,56,10,782.9977472,2,1.0
83,151,2020-11-12_09-52-17_000.mov,,,,1.0,,,,no info at all,,,13.0,38.0,5.0,1097.813987,2.0,3.0,1.0,,,,13,38,5,1097.813987,2,1.0
84,152,2020-11-13_13-24-51_000.mov,,,,1.0,,,,,,,31.0,39.0,4.0,1044.901751,2.0,3.0,,,1.0,Seems to smell objects,31,39,4,1044.901751,2,2.0
85,153,2020-11-13_14-20-44_000.mov,,,,1.0,,,,,,,13.0,29.0,4.0,1120.316171,2.0,3.0,,,1.0,Seems to hear owner,13,29,4,1120.316171,2,2.0
86,154,2020-11-24_10-32-36_000.mov,,,1.0,,,,,,,,0.0,20.0,4.0,1065.832284,1.0,1.0,1.0,,,,0,20,4,1065.832284,1,1.0
87,155,2020-12-10_09-38-28_000.mov,,,1.0,,,,,,,,52.0,70.0,13.0,873.0665763,2.0,1.0,1.0,,,,52,70,13,873.0665763,2,1.0
88,156,2020-12-10_10-20-58_000.mov,,,,1.0,,,,,,,43.0,66.0,12.0,999.1402643,2.0,3.0,1.0,,,,43,66,12,999.1402643,2,1.0
89,157,2020-12-15_10-47-17_000.mov,,,,1.0,,,,,,,31.0,19.0,4.0,617.0138789,3.0,3.0,,1.0,,,31,19,4,617.0138789,3,3.0
90,158,2020-12-17_16-40-35_000.mov,,,,1.0,,,,,,,27.0,48.0,10.0,825.3993454,2.0,3.0,1.0,,,,27,48,10,825.3993454,2,1.0
91,159,2020-12-18_14-20-09_000.mov,,,,,1.0,,,,,,35.0,50.0,9.0,698.1783343,2.0,2.0,,,1.0,Walks without orientation,35,50,9,698.1783343,2,2.0
92,160,2021-01-08_13-30-04_000.mov,,,,1.0,,,,,,,29.0,53.0,4.0,1027.099863,2.0,3.0,1.0,,,,29,53,4,1027.099863,2,1.0
93,161,2021-01-22_14-35-51_000.mov,,,,,1.0,,,doesn't move. probably not blind but with decreased sight,,,9.0,39.0,12.0,1007.095334,2.0,2.0,1.0,,,,9,39,12,1007.095334,2,1.0
94,162,2021-01-29_14-31-35_000.mov,,,1.0,,,,,,,,13.0,19.0,4.0,883.8852355,2.0,1.0,1.0,,,,13,19,4,883.8852355,2,1.0
95,163,2021-02-11_15-53-10_000.mov,,,1.0,,,,,assume it was blind but didnt move too much ,,,20.0,35.0,10.0,925.7781368,2.0,1.0,1.0,,,,20,35,10,925.7781368,2,1.0
96,164,2021-02-16_10-27-52_000.mov,,,1.0,,,,,,,,14.0,21.0,6.0,736.9743195,2.0,1.0,1.0,,,,14,21,6,736.9743195,2,1.0
97,165,2021-02-26_11-22-36_000.mov,,,,,1.0,,,,,,21.0,50.0,14.0,854.9840639,2.0,2.0,1.0,,,,21,50,14,854.9840639,2,1.0
98,166,2021-03-02_10-36-32_000.mov,,,,,1.0,,,no info at all,,,10.0,42.0,9.0,911.5505857,2.0,2.0,,,1.0,Walks without orientation,10,42,9,911.5505857,2,2.0
99,167,2021-03-04_11-12-21_000.mov,,,1.0,,,,,hit the door but out of the frame,,,23.0,64.0,6.0,1264.180871,2.0,1.0,,1.0,,,23,64,6,1264.180871,2,3.0
100,168,2021-03-05_11-46-05_000.mov,,,1.0,,,,,,,,7.0,35.0,4.0,1447.108081,1.0,1.0,1.0,,,,7,35,4,1447.108081,1,1.0
101,169,2021-03-19_10-24-57_000.mov,,,,1.0,,,,,,,38.0,78.0,13.0,1132.346778,2.0,3.0,,1.0,,,38,78,13,1132.346778,2,3.0
102,170,2021-04-06_11-17-15_000.mov,,,1.0,,,,,,,,13.0,47.0,4.0,1172.562053,2.0,1.0,1.0,,,,13,47,4,1172.562053,2,1.0
103,171,2021-04-30_13-16-09_000.mov,,,,1.0,,,,,,,5.0,18.0,2.0,1196.317389,1.0,3.0,,1.0,,,5,18,2,1196.317389,1,3.0
104,172,2021-05-04_10-37-33_000.mov,,,1.0,,,,,,,,21.0,41.0,8.0,839.6872798,2.0,1.0,1.0,,,,21,41,8,839.6872798,2,1.0
105,173,2021-05-11_15-13-09_000.mov,,,1.0,,,,,,,,64.0,56.0,19.0,657.2189655,2.0,1.0,1.0,,,,64,56,19,657.2189655,2,1.0
106,174,2021-06-08_13-33-05_000.mov,,,1.0,,,,,,,,35.0,46.0,4.0,872.6759857,2.0,1.0,1.0,,,,35,46,4,872.6759857,2,1.0
107,175,2021-06-11_10-36-36_000.mov,,,1.0,,,,,,,,49.0,59.0,12.0,965.0726666,2.0,1.0,1.0,,,,49,59,12,965.0726666,2,1.0
108,176,2021-06-22_12-29-57_000.mov,,,1.0,,,,,,,,14.0,28.0,2.0,1095.067301,2.0,1.0,1.0,,,,14,28,2,1095.067301,2,1.0
109,177,2021-06-25_15-16-48_000.mov,,,1.0,,,,,,,,14.0,37.0,9.0,898.6649336,2.0,1.0,1.0,,,,14,37,9,898.6649336,2,1.0
110,178,2021-06-28_15-18-37_000.mov,,,,,1.0,,,,,,114.0,70.0,18.0,534.0657285,2.0,2.0,1.0,,,,114,70,18,534.0657285,2,1.0
111,179,2021-06-29_10-18-12_000.mov,,,,1.0,,,,,,,24.0,42.0,8.0,955.3088765,2.0,3.0,,,1.0,Seems to hear owner,24,42,8,955.3088765,2,2.0
112,180,2021-07-01_10-53-08_000.mov,,,,,,,,no info at all,,,14.0,29.0,5.0,1112.063747,2.0,,1.0,,,,14,29,5,1112.063747,2,1.0
